title,price,negotiations,city,area,price_for_meter,link
Piękna działka pod zabudowę jednorodzinną 800m2,340 000 zł,,Siedlce,862 m²,394.43 zł/m²,https://www.otodom.pl/pl/oferta/piekna-dzialka-pod-zabudowe-jednorodzinna-800m2-ID4mEMt.html
Działka Łacha Serock,196 000 zł,do negocjacji,Łacha,1 153 m²,169.99 zł/m²,https://www.olx.pl/d/oferta/dzialka-lacha-serock-CID3-IDUubEe.html
Działka budowlana 1000 m2 (Radzymin Cegielnia),285 000 zł,do negocjacji,Radzymin,1 000 m²,285 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1000-m2-radzymin-cegielnia-CID3-IDYqJhh.html
Działka budowlana,55 000 zł,,Szyszki,750 m²,73.33 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYqIfS.html
Działka budowlana Ustanów 1191m2,273 930 zł,,Ustanów,1 191 m²,230 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-ustanow-1191m2-CID3-IDYpRqW.html
Łódź Ruda Pabianicka ul. Konna 6 działka inwestycyjna 1198m2.,699 900 zł,do negocjacji,Żdżary,1 198 m²,584.22 zł/m²,https://www.olx.pl/d/oferta/lodz-ruda-pabianicka-ul-konna-6-dzialka-inwestycyjna-1198m2-CID3-IDT9qq7.html
Działka budowlana Mława prestiżowa okolica,225 000 zł,do negocjacji,Mława,841 m²,267.54 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-mlawa-prestizowa-okolica-CID3-IDXCNUt.html
Działka Rolno-Budowlana,200 000 zł,do negocjacji,Swaty,6 300 m²,31.75 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-CID3-IDTyyGO.html
Działka Budowlana,116 000 zł,do negocjacji,Pułtusk,800 m²,145 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDY0CHs.html
Działki budowlane MN Minkowice 900 mkw 27x33m,129 000 zł,,Lublin,900 m²,143.33 zł/m²,https://www.olx.pl/d/oferta/dzialki-budowlane-mn-minkowice-900-mkw-27x33m-CID3-IDWZduq.html
Działka budowlana ul. Brzegowa Łomianki,330 000 zł,,Łomianki Dolne,1 000 m²,330 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-ul-brzegowa-lomianki-ID4mSRQ.html
Sprzedam działkę Tuliłów na granicy Międzyrzeca Podlaskiego,120 000 zł,do negocjacji,Piastów,3 515 m²,34.14 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-tulilow-na-granicy-miedzyrzeca-podlaskiego-CID3-IDYqHvz.html
Działka budowlana Koluszki - ul. Okrzei,247 800 zł,do negocjacji,Koluszki,826 m²,300 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-koluszki-ul-okrzei-CID3-IDXnj43.html
Działki budowlane lokata inwestycja dobry zakup !,120 000 zł,,Studzianki,1 205 m²,99.59 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-budowlane-lokata-inwestycja-dobry-zakup-ID4jFV9.html
działka budowlana 15 ar spokojna okolica lasy jeziora,69 000 zł,do negocjacji,Zaborowo,1 500 m²,46 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-15-ar-spokojna-okolica-lasy-jeziora-CID3-IDWjXIB.html
"Działka Brodnica cisza spokój, sosnowy las, blisko",74 900 zł,,Brodnica,750 m²,99.87 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-brodnica-cisza-spokoj-sosnowy-las-blisko-ID4m1yY.html
Przepiękna działka budowlana 1141m2 w Pęcicach (granica z Pruszkowem),750 000 zł,,Pęcice,1 142 m²,656.74 zł/m²,https://www.olx.pl/d/oferta/przepiekna-dzialka-budowlana-1141m2-w-pecicach-granica-z-pruszkowem-CID3-IDSzx9J.html
"Działka budowlana w Józefowie, tuż obok linii brzegowej Świdra.",430 000 zł,do negocjacji,"Józefów, Rycice",972 m²,442.39 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-w-jozefowie-tuz-obok-linii-brzegowej-swidra-CID3-IDY1HYn.html
Sprzedam działkę budowlaną.,259 000 zł,do negocjacji,Świdnik Mały,2 864 m²,90.43 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-CID3-IDK6GpD.html
Działka budowlana Tomaszów Maz. 1315m2,235 000 zł,do negocjacji,Tomaszów Mazowiecki,1 315 m²,178.71 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-tomaszow-maz-1315m2-CID3-IDIrGq2.html
"MPZP pod dom jednorodzinny lub bliźniaka, z mediami",1 100 000 zł,,"Warszawa, Wilanów",1 100 m²,1000 zł/m²,https://www.olx.pl/d/oferta/mpzp-pod-dom-jednorodzinny-lub-blizniaka-z-mediami-CID3-IDYqFRN.html
"Działka budowlana Boża Wola, gmina Jabłonna",372 000 zł,do negocjacji,Wólka Górska,1 200 m²,310 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-boza-wola-gmina-jablonna-CID3-IDXrH3M.html
"Działka 1443m, 12min od Warszawy",190 000 zł,,"Warszawa, Wawer",1 443 m²,131.67 zł/m²,https://www.olx.pl/d/oferta/dzialka-1443m-12min-od-warszawy-CID3-IDYhYzD.html
Działka z Warunkami Zabudowy na 16 domków,300 000 zł,,Zakrzówek Kolonia,17 100 m²,17.54 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-z-warunkami-zabudowy-na-16-domkow-ID4mHld.html
"Działka budowlana 1050 m2 (Radzymin Cegielnia, ul. Polna 102)",288 700 zł,do negocjacji,Radzymin,1 050 m²,274.95 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1050-m2-radzymin-cegielnia-ul-polna-102-CID3-IDYqEd9.html
Działka budowlana z warunkami zabudowy.,50 000 zł,do negocjacji,Lelice,1 787 m²,27.98 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-z-warunkami-zabudowy-CID3-IDSm0uP.html
Sprzedam działkę budowlaną Bartniki ul. Wspólna,80 000 zł,,Żyrardów,800 m²,100 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-bartniki-ul-wspolna-CID3-IDPsGE0.html
Sprzedam działkę pow.6755m² w miejscowości Zamość Stary koło Zwolenia,55 000 zł,do negocjacji,Zwoleń,6 755 m²,8.14 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-pow-6755m-w-miejscowosci-zamosc-stary-kolo-zwolenia-CID3-IDXJUde.html
Działka budowlana Mańkowo k. Płocka przy drodze głównej,185 000 zł,do negocjacji,Mańkowo,1 828 m²,101.2 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-mankowo-k-plocka-przy-drodze-glownej-CID3-IDVLyXp.html
Sprzedam działkę w Czarnej (Wołomin),368 280 zł,do negocjacji,Czarna,1 188 m²,310 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-w-czarnej-wolomin-CID3-IDYqgro.html
Działka Budowlana Adamów,125 000 zł,,Małczew,1 566 m²,79.82 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-adamow-CID3-IDPf6vj.html
Działka k.Wołomina 10minut do Warszawy,375 000 zł,do negocjacji,Wołomin,1 157 m²,324.11 zł/m²,https://www.olx.pl/d/oferta/dzialka-k-wolomina-10minut-do-warszawy-CID3-IDXnvvP.html
Działka - Radom (Godów) ul.Drzymały -pozwolenie na budowę plus projekt,230 516 zł,,Radom,806 m²,286 zł/m²,https://www.olx.pl/d/oferta/dzialka-radom-godow-ul-drzymaly-pozwolenie-na-budowe-plus-projekt-CID3-IDVWkTA.html
działka budowlana,125 000 zł,,Kowala,1 100 m²,113.64 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYqAa8.html
Działki Skrobów-Kolonia - Lubelskie - Lubartów,138 000 zł,,Skrobów-Kolonia,970 m²,142.27 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-skrobow-kolonia-lubelskie-lubartow-ID4mrkJ.html
Działka budowlana gmina Jastków 24 ary,219 000 zł,do negocjacji,Sieprawki,2 418 m²,90.57 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-gmina-jastkow-24-ary-CID3-IDUpsSU.html
Sprzedam działkę budowlaną Jachranka,199 000 zł,,Jachranka,1 030 m²,193.2 zł/m²,https://www.otodom.pl/pl/oferta/sprzedam-dzialke-budowlana-jachranka-ID4k5DG.html
Działki budowlane,100 000 zł,,Kowalówka,1 000 m²,100 zł/m²,https://www.olx.pl/d/oferta/dzialki-budowlane-CID3-IDYqqv6.html
Działka Budowlana 1000 m2 blisko rzeki Wkry,49 000 zł,,Płaciszewo,1 000 m²,49 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1000-m2-blisko-rzeki-wkry-CID3-IDY3Asb.html
Sprzedam działkę BIELAWY,43 000 zł,do negocjacji,Bielawy,1 622 m²,26.51 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-bielawy-CID3-IDYqxMX.html
Działka budowlana,770 000 zł,do negocjacji,Kobyłka,1 196 m²,643.81 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDWYF0z.html
Sprzedam działkę budowlaną,220 000 zł,,Bieganów,1 000 m²,220 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-CID3-IDYqoxo.html
Działka leśna w Miedzeszynie - inwestycja,600 000 zł,do negocjacji,"Warszawa, Wawer",1 404 m²,427.35 zł/m²,https://www.olx.pl/d/oferta/dzialka-lesna-w-miedzeszynie-inwestycja-CID3-IDXpEGO.html
"Działka budowlana, Zalesie, gm.Grójec 1250m",150 000 zł,do negocjacji,Zalesie,1 200 m²,125 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-zalesie-gm-grojec-1250m-CID3-IDTlXiR.html
"Działka 3000m2 Huta, Rogowo, Rypin",66 000 zł,do negocjacji,Huta,3 000 m²,22 zł/m²,https://www.olx.pl/d/oferta/dzialka-3000m2-huta-rogowo-rypin-CID3-IDYeaWk.html
Sprzedam działkę,420 000 zł,do negocjacji,Przęsławice,7 300 m²,57.53 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-CID3-IDYoYUl.html
Działki rolno-budowlane,780 000 zł,do negocjacji,Wiskitki,25 624 m²,30.44 zł/m²,https://www.olx.pl/d/oferta/dzialki-rolno-budowlane-CID3-IDYqmVE.html
Siedlisko - działka budowlana,350 000 zł,do negocjacji,Kruszyna,3 500 m²,100 zł/m²,https://www.olx.pl/d/oferta/siedlisko-dzialka-budowlana-CID3-IDYqvdO.html
"Działka na sprzedaż w Anielinie, 12km od centrum Puław, 50 arów",219 000 zł,,Anielin,5 040 m²,43.45 zł/m²,https://www.olx.pl/d/oferta/dzialka-na-sprzedaz-w-anielinie-12km-od-centrum-pulaw-50-arow-CID3-IDXm9Vy.html
Działka Łacha gm. Serock,153 000 zł,do negocjacji,Łacha,2 264 m²,67.58 zł/m²,https://www.olx.pl/d/oferta/dzialka-lacha-gm-serock-CID3-IDW82ft.html
"Działka budowlana + rolna, 15 min od A2",189 000 zł,do negocjacji,Zabostów Duży,13 573 m²,13.92 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-rolna-15-min-od-a2-CID3-IDUQz3E.html
Z pozwoleniem bud. Warszawa 18 min/ plac zabaw/las,460 000 zł,,Stara Wieś,1 000 m²,460 zł/m²,https://www.otodom.pl/pl/oferta/z-pozwoleniem-bud-warszawa-18-min-plac-zabaw-las-ID4lKUn.html
Działka budowlana Mława prestiżowa okolica,225 000 zł,do negocjacji,Mława,841 m²,267.54 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-mlawa-prestizowa-okolica-CID3-IDXCNUt.html
Działka budowlana,80 000 zł,,Warka,1 000 m²,80 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYn8GX.html
Sprzedam działkę budowlaną - Ciebłowice Duże,180 000 zł,,Ciebłowice Duże,1 510 m²,119.21 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-cieblowice-duze-CID3-IDY6nbB.html
Sprzedam kamienicę z działką,455 000 zł,do negocjacji,"Łódź, Górna",414 m²,1099.03 zł/m²,https://www.olx.pl/d/oferta/sprzedam-kamienice-z-dzialka-CID3-IDYqua4.html
"Działka budowlana 1500 m2, Łódź Widzew ul. Brylantowa",547 500 zł,do negocjacji,"Łódź, Widzew",1 500 m²,365 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1500-m2-lodz-widzew-ul-brylantowa-CID3-IDXO0WN.html
Działka budowlana,65 000 zł,do negocjacji,Gościmin Wielki,1 270 m²,51.18 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDS7Im6.html
Działka 2499m2 za 99 000zł warunki zabudowy,99 000 zł,,Grabszczyzna,2 429 m²,40.76 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-2499m2-za-99-000zl-warunki-zabudowy-ID4itvz.html
Sprzedam działkę 1160 m2 Wiskitno,340 000 zł,,Budy Wandalińskie,1 160 m²,293.1 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-1160-m2-wiskitno-CID3-IDWVZx6.html
Działka budowlana ul.Brójecka,295 000 zł,,"Łódź, Górna",1 313 m²,224.68 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-ul-brojecka-CID3-IDYqtxT.html
Działka w sąsiedztwie parku krajobrazowego,1 100 000 zł,,Borowina,2 151 m²,511.39 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-w-sasiedztwie-parku-krajobrazowego-ID4hYkT.html
działka budowlana Radom ul. Wośnicka,850 000 zł,,Radom,2 070 m²,410.63 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-radom-ul-wosnicka-CID3-IDYl1DD.html
Sprzedam działki budowlane przy lesie (media na działce),95 000 zł,,Czarnowiec,1 122 m²,84.67 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-budowlane-przy-lesie-media-na-dzialce-CID3-IDVDOc5.html
Działka budowlana,125 000 zł,,Kowala,1 100 m²,113.64 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYqrRM.html
Działka budowlana z domem murowanym letniskowym,259 000 zł,,Stryków,804 m²,322.14 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-z-domem-murowanym-letniskowym-ID4oQ5s.html
Działka budowlana Jeziora gm. Pniewy.,220 000 zł,,Jeziora,2 200 m²,100 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-jeziora-gm-pniewy-ID4oQ4R.html
Działka budowlana 1847m2; Nagórki Jabłoń,280 000 zł,,Nagórki-Jabłoń,1 847 m²,151.6 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-1847m2-nagorki-jablon-ID4o2TW.html
Radziwiłłów działka budowlana,140 000 zł,,Radziwiłłów,1 534 m²,91.26 zł/m²,https://www.olx.pl/d/oferta/radziwillow-dzialka-budowlana-CID3-IDRlEMS.html
Działka budowlana blizne jasińskiego ul.kopernika,880 000 zł,,Blizne Jasińskiego,"736,60 m²",1194.68 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-blizne-jasinskiego-ul-kopernika-CID3-IDXZ934.html
"Sprzedam działki w Winnicy, gmina Winnica, mazowieckie",169 000 zł,do negocjacji,Winnica,2 500 m²,67.6 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-w-winnicy-gmina-winnica-mazowieckie-CID3-IDVsw25.html
Działki Skrobów-Kolonia - Lubelskie - Lubartów,138 000 zł,,Skrobów-Kolonia,970 m²,142.27 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-skrobow-kolonia-lubelskie-lubartow-ID4mrkJ.html
"Działka 2084m²  Niedyszyna. Woda , prąd, ogrodzenie",191 000 zł,do negocjacji,Niedyszyna,2 084 m²,91.65 zł/m²,https://www.olx.pl/d/oferta/dzialka-2084m-niedyszyna-woda-prad-ogrodzenie-CID3-IDXk1rq.html
Działka budowlana Jeziora gm. Pniewy.,349 000 zł,,Jeziora,4 500 m²,77.56 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-jeziora-gm-pniewy-ID4oQ4t.html
Działka Budowlana w atrakcyjnej okolicy,290 000 zł,,Uwieliny,2 000 m²,145 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-atrakcyjnej-okolicy-ID4gXfU.html
Działka budowlana 1425 m2 w Świdrach,237 000 zł,do negocjacji,Świdry,1 425 m²,166.32 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1425-m2-w-swidrach-CID3-IDTZ7Wl.html
Działka rolno-budowlana 3000m2 spokojna okolica,60 000 zł,do negocjacji,Pierzchnia,3 000 m²,20 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-3000m2-spokojna-okolica-CID3-IDSYWnx.html
Sprzedam działkę budowlana - 4 km od Mławy,142 000 zł,,Mława,1 478 m²,96.08 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-4-km-od-mlawy-CID3-IDYnpD7.html
Sprzedam działkę budowlaną,220 000 zł,do negocjacji,Sochaczew,2 000 m²,110 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-CID3-IDYf3VJ.html
działka budowlana,"634 756,04 zł",,Lublin,901 m²,704.5 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDGkI4v.html
Działka 4 km od granicy Lublina - Panieńszczyzna,299 000 zł,,Panieńszczyzna,1 807 m²,165.47 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-4-km-od-granicy-lublina-panienszczyzna-ID4oPwz.html
Działka budowlana Szeligi pod Warszawą,1 150 000 zł,do negocjacji,Szeligi,500 m²,2300 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-szeligi-pod-warszawa-CID3-IDYqnde.html
"Działka Żabia Wola,Słubica Wieś 1000 m2. pod zabudowę jednorodzinną.",220 000 zł,do negocjacji,Słubica-Wieś,1 000 m²,220 zł/m²,https://www.olx.pl/d/oferta/dzialka-zabia-wola-slubica-wies-1000-m2-pod-zabudowe-jednorodzinna-CID3-IDYlrf3.html
Działķa z lasem przepiękna i unikalna z 3 stron las,300 000 zł,do negocjacji,Wola Krzysztoporska,7 752 m²,38.7 zł/m²,https://www.olx.pl/d/oferta/dziala-z-lasem-przepiekna-i-unikalna-z-3-stron-las-CID3-IDYircq.html
Działka budowlana nr4 również na sprzedaż,152 000 zł,,Kozienice,1 000 m²,152 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-nr4-rowniez-na-sprzedaz-CID3-IDYfWaD.html
Działka budowlana 18a w Nowodworze Piaski,225 000 zł,do negocjacji,Nowodwór-Piaski,1 800 m²,125 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-18a-w-nowodworze-piaski-CID3-IDYf1Dz.html
Sprzedam działkę henryszew,155 250 zł,do negocjacji,Henryszew,1 350 m²,115 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-henryszew-CID3-IDFjBfv.html
Zwoleń działka budowlana wydane atualne warunki zabudowy 3000m,150 000 zł,do negocjacji,Zwoleń,3 000 m²,50 zł/m²,https://www.olx.pl/d/oferta/zwolen-dzialka-budowlana-wydane-atualne-warunki-zabudowy-3000m-CID3-IDQivSk.html
Działka 800m2 w Falęcinie ( 05-604 ) Gmina Grójec,69 000 zł,,Falęcin,800 m²,86.25 zł/m²,https://www.olx.pl/d/oferta/dzialka-800m2-w-falecinie-05-604-gmina-grojec-CID3-IDYkUJZ.html
Działka budowlana 6000m tanio bezpośrednio Brochów Sochaczew Konary Ka,270 000 zł,do negocjacji,Konary,1 500 m²,180 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-6000m-tanio-bezposrednio-brochow-sochaczew-konary-ka-CID3-IDS0HkM.html
Sprzedam działkę budowlaną w Glinie 850 m² z WZ na dom jednorodzinny.,246 500 zł,do negocjacji,Otwock,850 m²,290 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-w-glinie-850-m-z-wz-na-dom-jednorodzinny-CID3-IDQ3zvn.html
Działka budowlana w pobliżu jeziora Białe i Sumino,69 500 zł,,Gorzewo,1 058 m²,65.69 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-poblizu-jeziora-biale-i-sumino-ID4nfsa.html
Sprzedam działki budowlane po 1000m media,105 000 zł,,Wyszków,1 000 m²,105 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-budowlane-po-1000m-media-CID3-IDOLT3j.html
"Piękna, uzbrojona działka w spokojnej okolicy",145 000 zł,do negocjacji,Stanisławowo,759 m²,191.04 zł/m²,https://www.olx.pl/d/oferta/piekna-uzbrojona-dzialka-w-spokojnej-okolicy-CID3-IDVTu7W.html
Działka budowlana 16km od Warszawy,370 000 zł,do negocjacji,Wyględy,1 221 m²,303.03 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-16km-od-warszawy-CID3-IDW9pWe.html
Działka budowlana 18a w Nowodworze Piaski,225 000 zł,do negocjacji,Nowodwór-Piaski,1 800 m²,125 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-18a-w-nowodworze-piaski-CID3-IDYf1Dz.html
Super działka budowlana otoczona lasem 2600m2. Cena do końca roku,156 000 zł,,Brzozówka,2 650 m²,58.87 zł/m²,https://www.olx.pl/d/oferta/super-dzialka-budowlana-otoczona-lasem-2600m2-cena-do-konca-roku-CID3-IDLKvt3.html
"sprzedam działki, Mazowieckie",50 000 zł,,Sulkowo,1 000 m²,50 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-mazowieckie-CID3-IDS5m5w.html
Działka pod budynek biurowo-usługowy 2505m2 Czarnówka,310 000 zł,,Czarnówka,2 600 m²,119.23 zł/m²,https://www.olx.pl/d/oferta/dzialka-pod-budynek-biurowo-uslugowy-2505m2-czarnowka-CID3-IDLER9I.html
Działka budowlana w Michałowie ul. Wesoła 5/17,114 760 zł,,Michałów,1 208 m²,95 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-w-michalowie-ul-wesola-5-17-CID3-IDQb8uk.html
"Atrakcyjne działki budowlane 1350m2, Ługów",60 000 zł,,Ługów,1 350 m²,44.44 zł/m²,https://www.otodom.pl/pl/oferta/atrakcyjne-dzialki-budowlane-1350m2-lugow-ID4oPpI.html
Sprzedam działkę budowlaną,235 000 zł,do negocjacji,Dębówka,1 146 m²,205.06 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-CID3-IDYqiBp.html
"Sprzedam działkę, Rytele Święckie - Mazowieckie",165 000 zł,do negocjacji,Rytele Święckie,2 801 m²,58.91 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-rytele-swieckie-mazowieckie-CID3-IDYqioM.html
